run_id,run_family,run_variant,fit_path,truth_path,seed,system,system_raw,stance,n_ratings,n_leaves_observed,n_raters,rater_design_tag,true_C,root_z_true,n_top_children,n_top_present,log_B_top_latent,log_B_top_max,log_B_top_min,top_latent_category,top_decisive_present_possible,top_decisive_absent_possible,log_L0_oracle,log_L1_oracle,log_B_oracle,rho_oracle_collapsed,rho_oracle_with_true_C,exact_loglik_consistency_abs,oracle_category,oracle_correct_sign,oracle_decisive_for_true_root,log_B_draw_mean,log_B_draw_median,log_B_draw_sd,log_B_draw_q05,log_B_draw_q25,log_B_draw_q75,log_B_draw_q95,p_draw_log_B_gt_0,p_draw_log_B_gt_tau_present_50,p_draw_log_B_lt_tau_absent_05,rho_posterior_collapsed,rho_posterior_sampled_pi,log_B_eff_posterior,n_posterior_draws_used,posterior_extraction_method,posterior_category,posterior_correct_sign,posterior_decisive_for_true_root,delta_eff_minus_oracle,delta_median_draw_minus_oracle,delta_eff_minus_top,sign_flip_oracle_vs_posterior,category_shift_oracle_to_posterior,large_disagreement_flag,severe_disagreement_flag,log_score_improvement_oracle,log_score_improvement_posterior,brier_improvement_oracle,brier_improvement_posterior
sample_size_sweep:exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260506__multK10,sample_size_sweep,full,notebooks/sample_size_sweep_2026-05-10/runs/exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260506__multK10/fit.nc,notebooks/sample_size_sweep_2026-05-10/runs/exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260506__multK10/truth.json,20260506,Chicken,Chicken,Global Workspace Theory,930,49,2,current_gwt_rater_design,0.25,0,7,3,-4.113173808410764,6.889069991302298,-8.911541094817743,strong_absent,True,True,-1191.050222451879,-1194.0100780780301,-2.959855626151011,0.010258942987330192,0.0169820927645655,1.8417267710901797e-11,moderate_absent,True,True,-2.3843012033101156,-0.008148785028993188,5.027174745567042,-11.68876930870764,-4.195796089140458,0.879308393540498,2.004123164721067,0.4985,0.09875,0.2705,0.20800923151368658,0.20610880667099504,0.27247063763302326,4000,numpy_dp_fallback,ambiguous,False,False,3.232326263784034,2.951706841122018,4.385644446043787,True,moderate_absent->ambiguous,True,False,0.17200962815498297,-0.05088398639331218,0.027672531866560483,-0.015490062617136688
sample_size_sweep:exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260506__multK10,sample_size_sweep,full,notebooks/sample_size_sweep_2026-05-10/runs/exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260506__multK10/fit.nc,notebooks/sample_size_sweep_2026-05-10/runs/exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260506__multK10/truth.json,20260506,LLMs,2024 Leading Chat LLMs,Global Workspace Theory,1860,50,4,current_gwt_rater_design,0.1,1,7,6,5.457920973726438,6.889069991302298,-8.911541094817743,strong_present,True,True,-2666.935118047567,-2666.939084864235,-0.003966816668253159,0.1661164481673281,0.099643552551939,0.0,ambiguous,False,False,-1.4391885139380476,1.9213405671382588,6.808989053793477,-13.830992006679026,-3.4025657639456313,2.9906528550766325,4.175195896273522,0.73375,0.56275,0.25,0.4928043769669974,0.49261447902773525,1.5806534330273612,4000,numpy_dp_fallback,ambiguous,True,False,1.5846202496956143,1.925307383806512,-3.8772675406990764,True,ambiguous->ambiguous,True,False,-0.0033067723462338883,1.0841164842581659,-0.0009173335726279097,0.43719704442060886
sample_size_sweep:exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260506__multK2,sample_size_sweep,full,notebooks/sample_size_sweep_2026-05-10/runs/exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260506__multK2/fit.nc,notebooks/sample_size_sweep_2026-05-10/runs/exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260506__multK2/truth.json,20260506,Chicken,Chicken,Global Workspace Theory,186,49,2,current_gwt_rater_design,0.25,0,7,3,-4.113173808410764,6.889069991302298,-8.911541094817743,strong_absent,True,True,-271.98836836572065,-275.08343930754245,-3.0950709418218025,0.008973114327793475,0.014866259449212835,2.1088908397359774e-11,strong_absent,True,True,-0.36552797619510147,-0.4059187392443562,0.9480491494479045,-1.8272603492076542,-1.02772826431044,0.2641475829040729,1.245282928713084,0.3325,0.0245,0.1515,0.1553991986333275,0.1581261389868988,-0.08342889775680407,4000,numpy_dp_fallback,ambiguous,True,False,3.0116420440649985,2.6891522025774464,4.02974491065396,False,strong_absent->ambiguous,True,False,0.17330794161457158,0.013430369123278496,0.027697260997038124,0.003628866841897404
sample_size_sweep:exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260506__multK2,sample_size_sweep,full,notebooks/sample_size_sweep_2026-05-10/runs/exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260506__multK2/fit.nc,notebooks/sample_size_sweep_2026-05-10/runs/exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260506__multK2/truth.json,20260506,LLMs,2024 Leading Chat LLMs,Global Workspace Theory,372,50,4,current_gwt_rater_design,0.1,1,7,6,5.457920973726438,6.889069991302298,-8.911541094817743,strong_present,True,True,-551.7968142972835,-551.8730175166842,-0.07620321940066788,0.15634993416714227,0.09334769974139999,1.1368683772161603e-13,ambiguous,False,False,1.433229657050876,1.4249296200201798,1.1880067020193161,-0.5046122088438834,0.6137360564203789,2.2530662846490657,3.369963862215371,0.8835,0.43875,0.0095,0.4650772143786398,0.4668501628406457,1.4695189461248281,4000,numpy_dp_fallback,ambiguous,True,False,1.545722165525496,1.5011328394208476,-3.9884020276016097,True,ambiguous->ambiguous,True,False,-0.06389914691113097,1.0262076344752784,-0.017300989135340616,0.4083020578675289
sample_size_sweep:exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260506__multK20,sample_size_sweep,full,notebooks/sample_size_sweep_2026-05-10/runs/exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260506__multK20/fit.nc,notebooks/sample_size_sweep_2026-05-10/runs/exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260506__multK20/truth.json,20260506,Chicken,Chicken,Global Workspace Theory,1860,49,2,current_gwt_rater_design,0.25,0,7,3,-4.113173808410764,6.889069991302298,-8.911541094817743,strong_absent,True,True,-2374.771641237086,-2377.7314944096015,-2.9598531725155226,0.010258967900831615,0.01698213372487196,1.8189894035458565e-11,moderate_absent,True,True,-2.3636688726444355,0.03475977903144667,5.0415710196283,-11.65371539590949,-4.350016261230735,0.9145515849174899,2.0236353045607975,0.5095,0.106,0.27575,0.21253266205670251,0.21417299222598116,0.29971169857150914,4000,numpy_dp_fallback,ambiguous,False,False,3.259564871087032,2.9946129515469693,4.412885506982273,True,moderate_absent->ambiguous,True,False,0.17200960298324583,-0.056611827976090684,0.027672531355387484,-0.017392354663130744
sample_size_sweep:exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260506__multK20,sample_size_sweep,full,notebooks/sample_size_sweep_2026-05-10/runs/exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260506__multK20/fit.nc,notebooks/sample_size_sweep_2026-05-10/runs/exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260506__multK20/truth.json,20260506,LLMs,2024 Leading Chat LLMs,Global Workspace Theory,3720,50,4,current_gwt_rater_design,0.1,1,7,6,5.457920973726438,6.889069991302298,-8.911541094817743,strong_present,True,True,-5315.8009713492565,-5315.804938165925,-0.003966816668253159,0.1661164481673281,0.099643552551939,0.0,ambiguous,False,False,-1.4427754558900414,1.9301897477853345,6.796741910933151,-13.792788460634256,-3.8819141645035415,2.9586196883751654,4.165672994574651,0.73175,0.5625,0.25075,0.49178661458179124,0.49492028978929165,1.576581415229319,4000,numpy_dp_fallback,ambiguous,True,False,1.580548231897572,1.9341565644535876,-3.881339558497119,True,ambiguous->ambiguous,True,False,-0.0033067723462338883,1.082049102459143,-0.0009173335726279097,0.4361635993262078
sample_size_sweep:exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260506__multK5,sample_size_sweep,full,notebooks/sample_size_sweep_2026-05-10/runs/exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260506__multK5/fit.nc,notebooks/sample_size_sweep_2026-05-10/runs/exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260506__multK5/truth.json,20260506,Chicken,Chicken,Global Workspace Theory,465,49,2,current_gwt_rater_design,0.25,0,7,3,-4.113173808410764,6.889069991302298,-8.911541094817743,strong_absent,True,True,-632.7627231630063,-635.7393157336129,-2.9765925706066128,0.010090386675202572,0.016704938267666853,1.864464138634503e-11,moderate_absent,True,True,-2.4671604169872805,-0.14171306706350606,4.881630771193823,-11.498720789198604,-4.188290146436373,0.6958729340376806,1.8265081882303091,0.45775,0.07075,0.283,0.18659609951621664,0.18755633597955593,0.13715650896935538,4000,numpy_dp_fallback,ambiguous,False,False,3.1137490795759684,2.8348795035431067,4.2503303173801195,True,moderate_absent->ambiguous,True,False,0.17217991710046265,-0.024205933442828842,0.027675961874522672,-0.007040326576888051
sample_size_sweep:exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260506__multK5,sample_size_sweep,full,notebooks/sample_size_sweep_2026-05-10/runs/exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260506__multK5/fit.nc,notebooks/sample_size_sweep_2026-05-10/runs/exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260506__multK5/truth.json,20260506,LLMs,2024 Leading Chat LLMs,Global Workspace Theory,930,50,4,current_gwt_rater_design,0.1,1,7,6,5.457920973726438,6.889069991302298,-8.911541094817743,strong_present,True,True,-1364.9159867286558,-1364.9199519613337,-0.00396523267795601,0.16611666758458976,0.09964369465926719,0.0,ambiguous,False,False,-1.3909755244683717,1.9213830916930874,6.756290408202327,-13.683536706161453,-3.699488127720713,2.9993701441845815,4.2289276815031815,0.7335,0.56825,0.2505,0.49436779832440086,0.49616214350277765,1.5869081527898854,4000,numpy_dp_fallback,ambiguous,True,False,1.5908733854678414,1.9253483243710434,-3.8710128209365524,True,ambiguous->ambiguous,True,False,-0.0033054514829529147,1.0872839614291685,-0.000916967635785082,0.4387805210731307
asymmetric_prior_sweep:exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260506__pres85_abs15_sig50,asymmetric_prior_sweep,full,notebooks/asymmetric_prior_sweep_2026-05-10/runs/synthetic/exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260506__pres85_abs15_sig50/fit.nc,notebooks/asymmetric_prior_sweep_2026-05-10/runs/synthetic/exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260506__pres85_abs15_sig50/truth.json,20260506,Chicken,Chicken,Global Workspace Theory,93,49,2,current_gwt_rater_design,0.25,0,7,3,-4.113173808410764,6.889069991302298,-8.911541094817743,strong_absent,True,True,-156.00135735018975,-159.01213372522682,-3.010776375037068,0.00975459550939264,0.01615261768105668,1.929834070324432e-11,strong_absent,True,True,-0.5013446572746978,-0.5188554228118392,1.1624581250860913,-2.3723779747566285,-1.2909695955185114,0.2728551444430778,1.4165829314496186,0.3255,0.0385,0.236,0.15359984886129696,0.15760080435946025,-0.09720349049928267,4000,numpy_dp_fallback,ambiguous,True,False,2.9135728845377855,2.491920952225229,4.015970317911481,False,strong_absent->ambiguous,True,False,0.17251907354630408,0.015558517482357176,0.027682625644225915,0.004184864207564507
asymmetric_prior_sweep:exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260506__pres85_abs15_sig50,asymmetric_prior_sweep,full,notebooks/asymmetric_prior_sweep_2026-05-10/runs/synthetic/exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260506__pres85_abs15_sig50/fit.nc,notebooks/asymmetric_prior_sweep_2026-05-10/runs/synthetic/exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260506__pres85_abs15_sig50/truth.json,20260506,LLMs,2024 Leading Chat LLMs,Global Workspace Theory,186,50,4,current_gwt_rater_design,0.1,1,7,6,5.457920973726438,6.889069991302298,-8.911541094817743,strong_present,True,True,-305.32880515645473,-305.15446549935587,0.17433965709886934,0.1923055596912279,0.11682101331719781,1.7053025658242404e-13,ambiguous,True,False,0.10096094485488474,0.032044227941099734,1.4276157595399643,-2.1575450274747223,-0.8397115883122837,0.9927152435914621,2.539407840908369,0.5085,0.1465,0.149,0.2458640423155852,0.24433103074697612,0.4886439550878432,4000,numpy_dp_fallback,ambiguous,True,False,0.31430429798897386,-0.1422954291577696,-4.969277018638595,False,ambiguous->ambiguous,False,False,0.14308975397356827,0.38878289988409853,0.04207413553874384,0.12572340177185515
